Cable_A_Name,Cable_A_Dia_mm,Cable_A_Material,Cable_B_Name,Cable_B_Dia_mm,Cable_B_Material,Part_Number,NZ_Alpha_Short_Code,Chart_Source
BUTTERFLY,23.2,Aluminum,BUTTERFLY,23.2,Aluminum,1-602031-2,,Yellow
BUTTERFLY,23.2,Aluminum,300MM2 CU (61 / 2.52),22.68,Copper,1-602031-2,,Yellow
BUTTERFLY,23.2,Aluminum,COCKROACH,21.1,Aluminum,1-602031-2,,Yellow
BUTTERFLY,23.2,Aluminum,240MM2 CU (61 / 2.25),20.25,Copper,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,240MM2 CU (61 / 2.25),20.25,Copper,1-602031-2,,Yellow
BUTTERFLY,23.2,Aluminum,SPIDER,20.0,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,SPIDER,20.0,Aluminum,1-602031-2,,Yellow
BUTTERFLY,23.2,Aluminum,CHAFER,19.9,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,CHAFER,19.9,Aluminum,1-602031-2,,Yellow
BUTTERFLY,23.2,Aluminum,IBIS,19.89,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,IBIS,19.89,Aluminum,1-602031-2,,Yellow
BUTTERFLY,23.2,Aluminum,JAGUAR / MATA,19.3,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,NEON,18.8,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,37 / .103 CU (195.1MM2 / 37 / 2.62),18.3,Copper,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,WOLF,18.13,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,CATERPILLAR,17.7,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,185MM2 ALI,17.64,Aluminum,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,185MM2 CU (37 / 2.52),17.64,Copper,1-602031-3,Y2-20,Yellow
BUTTERFLY,23.2,Aluminum,DINGO / WETA,16.75,Aluminum,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,KRYPTON,16.3,Aluminum,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,HORNET,16.25,Aluminum,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,CRICKET,16.1,Aluminum,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,WAXWING,15.94,Aluminum,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,150MM2 CU (37 / 2.25),15.75,Copper,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,37 / .083 CU (126.7MM2),14.8,Copper,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,37 / .083 CU (126.7MM2),14.8,Copper,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,BEE,14.71,Aluminum,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,BEE,14.71,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,19 / 116 CU,14.7,Copper,1-602031-4,Y2-31,Yellow
BUTTERFLY,23.2,Aluminum,19 / 116 CU,14.7,Copper,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,IODINE,14.3,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,120MM2 CU (37 / 2.03),14.21,Copper,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,HARE,14.17,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,DOG / WEKE,14.16,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,HYDROGEN,13.5,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,BEETLE,13.33,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,WASP,13.2,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,19 / 101 CU / 37 / .072 CU (95.3MM2),12.8,Copper,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,19 / 101 CU / 37 / .072 CU (95.3MM2),12.8,Copper,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,AMPACT LUG (CU),12.7,Copper,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,AMPACT LUG (CU),12.7,Copper,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,95MM2 CU (19 / 2.52),12.6,Copper,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,95MM2 CU (19 / 2.52),12.6,Copper,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,PIGEON,12.5,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,PIGEON,12.5,Aluminum,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,RACCOON,12.3,Aluminum,1-602031-5,Y2-21,Yellow
BUTTERFLY,23.2,Aluminum,RACCOON,12.3,Aluminum,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,PETREL,11.71,Aluminum,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,GRASSHOPPER,11.7,Aluminum,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,HELIUM / GARNET,11.3,Aluminum,1-602031-6,Y2-22,Yellow
BUTTERFLY,23.2,Aluminum,HELIUM / GARNET,11.3,Aluminum,1-602031-7,Y2-28,Yellow
BUTTERFLY,23.2,Aluminum,7 / 144 ALI,11.0,Aluminum,1-602031-7,Y2-28,Yellow
BUTTERFLY,23.2,Aluminum,MINK / RANGO,10.98,Aluminum,1-602031-7,Y2-28,Yellow
BUTTERFLY,23.2,Aluminum,70MM2 CU (19 / 2.14),10.7,Copper,1-602031-7,Y2-28,Yellow
BUTTERFLY,23.2,Aluminum,19 / 083 CU (65.1MM2),10.5,Copper,1-602031-7,Y2-28,Yellow
BUTTERFLY,23.2,Aluminum,HAKE,10.41,Aluminum,1-602031-7,Y2-28,Yellow
BUTTERFLY,23.2,Aluminum,FLY / SNIPE,10.2,Aluminum,1-602031-7,Y2-28,Yellow
